"","ModelID","ID","GSM1169222","GSM1169223","GSM1169224","GSM1169225","GSM1169226","GSM1169227","GSM1169228","GSM1169229","GSM1169230","GSM1169231","GSM1169232","GSM1169233","GSM1169234","GSM1169235","GSM1169236","GSM1169237"
"1","'PCCGCIGL_06133'","Skluy_65.1.19:19",0.183042759,0.243136941,0.218041304,0.130186618,0.024959115,-0.065547042,0.200184576,0.152377703,0.575734544,0.537460578,0.451308609,0.386979291,0.058244318,0.027848157,-0.193911217,-0.02807409
"2","'PCCGCIGL_05201'","Skluy_10.5.9:9",0.209980045,0.087053417,0.181734959,0.199510566,0.31111529,0.525515022,0.479871691,0.546077523,-0.240528003,-0.07023941,0.05417839,-0.051608903,-0.146665544,-0.070096604,0.10765857,0.024926265
"3","'PCCGCIGL_00527'","Skluy_73.2.3:3",0.165936324,0.190365322,0.48977296,0.451518185,0.177269954,0.548586186,0.295750454,0.286839254,0.764686018,0.653219874,0.67421076,0.507811298,-0.703517913,-0.857438948,-0.776971439,-0.610522592
"4","'PCCGCIGL_01866'","Skluy_28.3.18:18",-1.229499111,-1.21499754,-1.28174281,-1.474149713,-0.719090271,-0.950991648,-0.881092524,-0.92483344,-1.453434851,-1.780479374,-1.645166871,-1.477997429,0.035071797,-0.407093369,-0.165460553,-0.140232642
"5","'PCCGCIGL_07093'","Skluy_0.3.4:4",0.10830173,0.238442576,-0.029668955,0.31838099,-0.336269849,-0.509828179,-0.520524549,-0.343470182,0.269582201,0.364248825,0.302118505,0.567879382,-0.171918625,-0.246348433,-0.287459925,-0.498415736
"6","'PCCGCIGL_01389'","Skluy_14.4.14:14",0.198783464,0.35052585,0.377634192,0.269343513,0.405213636,0.369794617,0.375088177,0.37861354,-0.168436436,0.106424045,-0.081801436,0.170136352,0.166250807,0.001025417,-0.066455302,0.144042808
"7","'PCCGCIGL_06386'","Skluy_102.2.14:14",-0.163318217,-0.203819453,-0.20564149,-0.192188539,0.093654849,0.133652116,0.247404464,0.048828572,-0.375439362,-0.511039365,-0.563524709,-0.364826125,-0.056881015,-0.266054047,-0.207222092,-0.146865917
"8","'PCCGCIGL_06009'","Skluy_68.1.9:9",0.652118424,0.655636114,0.644063825,0.608165289,0.854850975,0.911125194,0.897296954,0.919094084,0.036814562,0.149158376,-0.294343268,0.063743493,0.108898509,0.114683937,0.337756563,0.273835284
"9","'PCCGCIGL_06628'","Skluy_18.3.2:2",-0.272606412,0.568992568,0.389771198,-2.17991355,0.629974622,-0.227621853,0.251407902,-0.223584621,0.644563801,0.162345944,0.562649239,-1.34075723,-0.561582121,-0.537100489,-1.100624632,0.239277541
"10","'PCCGCIGL_06628'","Skluy_12.2.20:20",0.293973855,-0.291570036,-0.820434339,-0.737163639,-2.516900602,-3.320949083,-3.087534545,-3.368473399,-0.896747208,-1.808729654,-1.634974998,-1.610155458,-0.756443658,-0.67017957,-1.533192425,-0.884755272
"11","'PCCGCIGL_01423'","Skluy_160.1.1:1",-0.080530053,0.063562418,-0.017527599,-0.143527728,-0.167906992,-0.267281173,0.266239818,-0.393749143,-0.077188803,-0.095752412,-0.140191231,-0.21015202,0.161165679,-0.092578569,-0.204832294,-0.032384502
"12","'PCCGCIGL_01423'","Skluy_20.1.12:12",NA,NA,0.135898571,NA,1.634623019,NA,0.049435893,0.110318386,NA,1.498309436,-0.480480717,1.289461591,0.012528487,0.208645127,NA,0.074732214
"13","'PCCGCIGL_01423'","Skluy_14.4.29:29",-2.32430342,-2.585025759,-2.865365685,-3.211691138,-1.466585552,-1.632504619,-1.554015229,-1.42413108,-2.726474708,-4.076972217,-3.8212679,-3.378504125,-4.947934806,-5.225073988,-5.792896469,-5.200781307
"14","'PCCGCIGL_01423'","Skluy_9.6.29:29",-0.683002878,-0.730631117,-0.528332257,-0.9465388,0.531912038,0.061981243,0.007224482,0.265413283,-0.979209674,-1.130300546,-0.989208095,-0.578233828,-0.320558511,-0.700494357,-0.284604428,-0.411547884
"15","'PCCGCIGL_06667'","Skluy_49.1.5:5",0.408621905,0.490498971,0.540310773,0.347371521,0.086191066,0.424546445,0.270835395,0.112329175,0.447737595,0.693331472,0.660223313,0.74191211,-0.353827719,-0.02348403,-0.204240931,-0.086695832
"16","'PCCGCIGL_05417'","Skluy_7.3.58:58",-0.889927454,-0.819442514,-0.967529393,-1.151982706,-1.565964123,-1.510813954,-1.595417711,-1.53865285,-0.098923772,-0.306776845,-0.194221118,-0.105613729,0.507238773,0.587246713,0.438609628,0.550585401
"17","'PCCGCIGL_05417'","Skluy_92.1.1:1",-0.997195162,-0.934340956,-0.864686408,-0.875600403,-1.710583656,-1.723742218,-1.901466469,-1.59845632,-0.32879574,-0.097941349,-0.332734611,-0.126602657,0.624953472,0.681227742,0.620971974,0.318635085
"18","'PCCGCIGL_06812'","Skluy_78.2.8:8",0.022880106,0.019463051,0.199844044,0.012912447,0.477903849,0.174907737,0.256331834,0.348125042,-0.102146458,-0.355394603,-0.378669995,-0.376003755,0.00286379,-0.116112607,-0.194182656,0.010168967
